"Skill or Certification: ID","Skill or Certification: Skill or Certification Name","Certification Source","External ID","Group","Hierarchy Level","Hierarchy Path","Parent Category","Primary Product Skill","Description","Record Type Name","Type","Unique Name","Badge","Skill or Certification: Last Modified Date","Skill Or Certification","Category"
"a9Jed000000BopV","Credit Consumption","","","","3","Discipline > Discipline - Agentforce Implementation","Discipline - Agentforce Implementation","0","Explains how Flex Credits are consumed across multi-product deployments, including consumption patterns, token composition, LLM cost drivers, and metering. Translates client requirements into cost-aware solution designs that optimize credit usage","Skill","Discipline","Credit Consumption","","9/16/2026","Skill",""
"a9Jed000000BWFt","Agentforce Operations","","","","3","Product > Product - AgentForce","Product - AgentForce","0","Demonstrates the ability to assess, position, configure, and validate Agentforce Operations solutions for customer implementations using platform best practices.","Skill","Product","Agentforce Operations","","7/30/2026","Skill",""
"a9Jed0000000W6L","Customer Engagement","","","","1","","","0","","Category","Industry","Customer Engagement","","2/24/2026","Skill",""
"a9Jed0000000WEY","Product - AgentForce","","","","2","Product","Product","0","","Category","Product","Product - AgentForce","","2/24/2026","Skill",""
"a9Jed0000000WG1","Product - Analytics","","","","2","Product","Product","0","","Category","Product","Product - Analytics","","2/24/2026","Skill",""
"a9Jed0000000WG2","Product - Commerce","","","","2","Product","Product","0","","Category","Product","Product - Commerce","","2/24/2026","Skill",""
"a9Jed0000000WG3","Product - Customer 360 Platform","","","","2","Product","Product","0","","Category","Product","Product - Customer 360 Platform","","2/24/2026","Skill",""
"a9Jed0000000WG4","Product - Data Cloud","","","","2","Product","Product","0","","Category","Product","Product - Data Cloud","","2/24/2026","Skill",""
"a9Jed0000000WG5","Product - Experience Cloud","","","","2","Product","Product","0","","Category","Product","Product - Experience Cloud","","2/24/2026","Skill",""
"a9Jed0000000WG6","Product - External Technologies/Tools","","","","2","Product","Product","0","","Category","Product","Product - External Technologies/Tools","","2/24/2026","Skill",""
"a9Jed0000000WG7","Product - Healthcare and Life Sciences","","","","2","Product","Product","0","","Category","Product","Product - Healthcare and Life Sciences","","2/24/2026","Skill",""
"a9Jed0000000WG8","Product - Industries","","","","2","Product","Product","0","","Category","Product","Product - Industries","","2/24/2026","Skill",""
"a9Jed0000000WG9","Product - Industry Clouds","","","","2","Product","Product","0","","Category","Product","Product - Industry Clouds","","2/24/2026","Skill",""
"a9Jed0000000WGA","Product - Integration","","","","2","Product","Product","0","","Category","Product","Product - Integration","","2/24/2026","Skill",""
"a9Jed0000000WHd","Product - Marketing","","","","2","Product","Product","0","","Category","Product","Product - Marketing","","2/24/2026","Skill",""
"a9Jed0000000WHe","Product - Platform","","","","2","Product","Product","0","","Category","Product","Product - Platform","","2/24/2026","Skill",""
"a9Jed0000000WHf","Product - Sales","","","","2","Product","Product","0","","Category","Product","Product - Sales","","2/24/2026","Skill",""
"a9Jed0000000WHg","Product - Salesforce Platform","","","","2","Product","Product","0","","Category","Product","Product - Salesforce Platform","","2/24/2026","Skill",""
"a9Jed0000000WHh","Product - Service","","","","2","Product","Product","0","","Category","Product","Product - Service","","2/24/2026","Skill",""
"a9Jed0000000WHi","Product - Slack Implementation","","","","2","Product","Product","0","","Category","Product","Product - Slack Implementation","","2/24/2026","Skill",""
"a9Jed0000000WHj","Product - Spiff","","","","2","Product","Product","0","","Category","Product","Product - Spiff","","2/24/2026","Skill",""
"a9Jed0000000WHk","Product - Success","","","","2","Product","Product","0","","Category","Product","Product - Success","","2/24/2026","Skill",""
"a9Jed0000000WHl","Product - Tableau","","","","2","Product","Product","0","","Category","Product","Product - Tableau","","2/24/2026","Skill",""
"a9Jed0000007rkL","Product - Automotive Cloud","","","","2","Product","Product","0","","Category","Industry","Product - Automotive Cloud","","5/5/2026","Skill",""
"a9Jed0000007rlx","Product - Retail Cloud (POS)","","","","2","Product","Product","0","","Category","Industry","Product - Retail Cloud (POS)","","5/5/2026","Skill",""
"a9Jed0000007rnZ","Product - Loyalty Management","","","","2","Product","Product","0","","Category","Industry","Product - Loyalty Management","","5/5/2026","Skill",""
"a9Jed0000000WEX","Other - Language","","","","2","Other","Other","0","","Category","Other","Other - Language","","2/24/2026","Skill",""
"a9Jed0000000WES","Industry - Oil and Gas","","","","2","Industry","Industry","0","","Category","Industry","Industry - Oil and Gas","","2/24/2026","Skill",""
"a9Jed0000000WET","Industry - Professional Services","","","","2","Industry","Industry","0","","Category","Industry","Industry - Professional Services","","2/24/2026","Skill",""
"a9Jed0000000WEU","Industry - Public Sector","","","","2","Industry","Industry","0","","Category","Industry","Industry - Public Sector","","2/24/2026","Skill",""
"a9Jed0000000WEV","Industry - Retail and Consumer Goods","","","","2","Industry","Industry","0","","Category","Industry","Industry - Retail and Consumer Goods","","2/24/2026","Skill",""
"a9Jed0000000WEW","Industry - Travel, Transportation, and Hospitality","","","","2","Industry","Industry","0","","Category","Industry","Industry - Travel, Transportation, and Hospitality","","2/24/2026","Skill",""
"a9Jed0000000WCp","Industry - Agriculture and Mining","","","","2","Industry","Industry","0","","Category","Industry","Industry - Agriculture and Mining","","2/24/2026","Skill",""
"a9Jed0000000WCq","Industry - Communications","","","","2","Industry","Industry","0","","Category","Industry","Industry - Communications","","2/24/2026","Skill",""
"a9Jed0000000WCr","Industry - Education","","","","2","Industry","Industry","0","","Category","Industry","Industry - Education","","2/24/2026","Skill",""
"a9Jed0000000WCs","Industry - Energy and Utilities","","","","2","Industry","Industry","0","","Category","Industry","Industry - Energy and Utilities","","2/24/2026","Skill",""
"a9Jed0000000WCt","Industry - Engineering, Construction, and Real Estate","","","","2","Industry","Industry","0","","Category","Industry","Industry - Engineering, Construction, and Real Estate","","2/24/2026","Skill",""
"a9Jed0000000WCu","Industry - Financial Services","","","","2","Industry","Industry","0","","Category","Industry","Industry - Financial Services","","2/24/2026","Skill",""
"a9Jed0000000WCv","Industry - Healthcare and Life Sciences","","","","2","Industry","Industry","0","","Category","Industry","Industry - Healthcare and Life Sciences","","2/24/2026","Skill",""
"a9Jed0000000WCw","Industry - High Tech","","","","2","Industry","Industry","0","","Category","Industry","Industry - High Tech","","2/24/2026","Skill",""
"a9Jed0000000WEP","Industry - Manufacturing","","","","2","Industry","Industry","0","","Category","Industry","Industry - Manufacturing","","2/24/2026","Skill",""
"a9Jed0000000WEQ","Industry - Media","","","","2","Industry","Industry","0","","Category","Industry","Industry - Media","","2/24/2026","Skill",""
"a9Jed0000000WER","Industry - Nonprofit","","","","2","Industry","Industry","0","","Category","Industry","Industry - Nonprofit","","2/24/2026","Skill",""
"a9Jed0000000WBI","Great Characteristics - Courageous Communication","","","","2","Great Characteristics","Great Characteristics","0","","Category","Great Characteristics","Great Characteristics - Courageous Communication","","2/24/2026","Skill",""
"a9Jed0000000WBJ","Great Characteristics - Get it Done","","","","2","Great Characteristics","Great Characteristics","0","","Category","Great Characteristics","Great Characteristics - Get it Done","","2/24/2026","Skill",""
"a9Jed0000000WBK","Great Characteristics - Motivate and Champion","","","","2","Great Characteristics","Great Characteristics","0","","Category","Great Characteristics","Great Characteristics - Motivate and Champion","","2/24/2026","Skill",""
"a9Jed0000000WCn","Great Characteristics - Salesforce Smart","","","","2","Great Characteristics","Great Characteristics","0","","Category","Great Characteristics","Great Characteristics - Salesforce Smart","","2/24/2026","Skill",""
"a9Jed0000000WCo","Great Characteristics - Win as a Team","","","","2","Great Characteristics","Great Characteristics","0","","Category","Great Characteristics","Great Characteristics - Win as a Team","","2/24/2026","Skill",""
"a9Jed000000BPnt","Discipline - Artificial Intelligence","","","","2","Discipline","Discipline","0","","Category","Technical","Discipline - Artificial Intelligence","","7/15/2026","Skill",""
"a9Jed0000000W82","Discipline - Adoption (User Experience)","","","","2","Discipline","Discipline","0","","Category","Discipline","Discipline - Adoption (User Experience)","","2/24/2026","Skill",""
"a9Jed0000000W83","Discipline - Agentforce Implementation","","","","2","Discipline","Discipline","0","","Category","Discipline","Discipline - Agentforce Implementation","","2/24/2026","Skill",""
"a9Jed0000000W84","Discipline - Analytics","","","","2","Discipline","Discipline","0","","Category","Discipline","Discipline - Analytics","","2/24/2026","Skill",""
"a9Jed0000000W85","Discipline - Business Process","","","","2","Discipline","Discipline","0","","Category","Discipline","Discipline - Business Process","","2/24/2026","Skill",""
"a9Jed0000000W86","Discipline - Business Value","","","","2","Discipline","Discipline","0","","Category","Discipline","Discipline - Business Value","","2/24/2026","Skill",""
"a9Jed0000000W9Z","Discipline - Campaign Management","","","","2","Discipline","Discipline","0","","Category","Discipline","Discipline - Campaign Management","","2/24/2026","Skill",""
"a9Jed0000000W9a","Discipline - Change / Culture","","","","2","Discipline","Discipline","0","","Category","Discipline","Discipline - Change / Culture","","2/24/2026","Skill",""
"a9Jed0000000W9b","Discipline - Data","","","","2","Discipline","Discipline","0","","Category","Discipline","Discipline - Data","","2/24/2026","Skill",""
"a9Jed0000000W9c","Discipline - Data Integration","","","","2","Discipline","Discipline","0","","Category","Discipline","Discipline - Data Integration","","2/24/2026","Skill",""
"a9Jed0000000W9d","Discipline - Design","","","","2","Discipline","Discipline","0","","Category","Discipline","Discipline - Design","","2/24/2026","Skill",""
"a9Jed0000000W9e","Discipline - DevOps","","","","2","Discipline","Discipline","0","","Category","Discipline","Discipline - DevOps","","2/24/2026","Skill",""
"a9Jed0000000W9f","Discipline - Enterprise Architecture","","","","2","Discipline","Discipline","0","","Category","Discipline","Discipline - Enterprise Architecture","","2/24/2026","Skill",""
"a9Jed0000000W9g","Discipline - Governance","","","","2","Discipline","Discipline","0","","Category","Discipline","Discipline - Governance","","2/24/2026","Skill",""
"a9Jed0000000W9h","Discipline - Innovation","","","","2","Discipline","Discipline","0","","Category","Discipline","Discipline - Innovation","","2/24/2026","Skill",""
"a9Jed0000000W9i","Discipline - Learning","","","","2","Discipline","Discipline","0","","Category","Discipline","Discipline - Learning","","2/24/2026","Skill",""
"a9Jed0000000WBB","Discipline - Mulesoft implementation","","","","2","Discipline","Discipline","0","","Category","Discipline","Discipline - Mulesoft implementation","","2/24/2026","Skill",""
"a9Jed0000000WBC","Discipline - Project Management","","","","2","Discipline","Discipline","0","","Category","Discipline","Discipline - Project Management","","2/24/2026","Skill",""
"a9Jed0000000WBD","Discipline - Quality Assurance","","","","2","Discipline","Discipline","0","","Category","Discipline","Discipline - Quality Assurance","","2/24/2026","Skill",""
"a9Jed0000000WBE","Discipline - Selling","","","","2","Discipline","Discipline","0","","Category","Discipline","Discipline - Selling","","2/24/2026","Skill",""
"a9Jed0000000WBF","Discipline - Strategy","","","","2","Discipline","Discipline","0","","Category","Discipline","Discipline - Strategy","","2/24/2026","Skill",""
"a9Jed0000000WBG","Discipline - Tableau implementation","","","","2","Discipline","Discipline","0","","Category","Discipline","Discipline - Tableau implementation","","2/24/2026","Skill",""
"a9Jed0000000WBH","Discipline - Technical","","","","2","Discipline","Discipline","0","","Category","Discipline","Discipline - Technical","","2/24/2026","Skill",""
"a9Jed0000000W7x","Customer Engagement - Coaching","","","","2","Customer Engagement","Customer Engagement","0","","Category","Customer Engagement","Customer Engagement - Coaching","","2/24/2026","Skill",""
"a9Jed0000000W7y","Customer Engagement - Communication","","","","2","Customer Engagement","Customer Engagement","0","","Category","Customer Engagement","Customer Engagement - Communication","","2/24/2026","Skill",""
"a9Jed0000000W7z","Customer Engagement - Conflict Management","","","","2","Customer Engagement","Customer Engagement","0","","Category","Customer Engagement","Customer Engagement - Conflict Management","","2/24/2026","Skill",""
"a9Jed0000000W80","Customer Engagement - Relationship Building","","","","2","Customer Engagement","Customer Engagement","0","","Category","Customer Engagement","Customer Engagement - Relationship Building","","2/24/2026","Skill",""
"a9Jed0000000W81","Customer Engagement - Strategic Consulting","","","","2","Customer Engagement","Customer Engagement","0","","Category","Customer Engagement","Customer Engagement - Strategic Consulting","","2/24/2026","Skill",""
"a9Jed0000000WJF","Obsolete (Do Not Use)","","","","1","","","0","","Category","Industry","Obsolete (Do Not Use)","","2/24/2026","Skill",""
"a9Jed0000000W6M","Discipline","","","","1","","","0","","Category","Industry","Discipline","","2/24/2026","Skill",""
"a9Jed0000000W6N","Great Characteristics","","","","1","","","0","","Category","Industry","Great Characteristics","","2/24/2026","Skill",""
"a9Jed0000000W6O","Industry","","","","1","","","0","","Category","Industry","Industry","","2/24/2026","Skill",""
"a9Jed0000000W6P","Other","","","","1","","","0","","Category","Industry","Other","","2/24/2026","Skill",""
"a9Jed0000000W6Q","Product","","","","1","","","0","","Category","Industry","Product","","2/24/2026","Skill",""
"a9Jed00000003PJ","Inclusive Leadership","","0Sked000000003HCAQ","","3","Customer Engagement > Customer Engagement - Relationship Building","Customer Engagement - Relationship Building","0","Demonstrates the ability to create an environment where employees feel valued, understood, and empowered to contribute their best work. Inclusive leaders demonstrate respect for each person?s unique characteristics without bias and promotes diversity, equ","Skill","Customer Engagement","Inclusive Leadership","","7/15/2026","Skill","Customer Engagement - Relationship Building"
"a9J3y000000xhqm","Expand Relationships","","0Sk0M000000XZIrSAO","","3","Customer Engagement > Customer Engagement - Relationship Building","Customer Engagement - Relationship Building","0","Ability to gain access to executives and expand customer network","Skill","Customer Engagement","Expand Relationships","","7/15/2026","Skill","Customer Engagement - Relationship Building"
"a9J3y0000010x99","Leadership Presence","","0Sk3y000000TRqsCAG","","3","Customer Engagement > Customer Engagement - Relationship Building","Customer Engagement - Relationship Building","0","Demonstrates a professional demeanor that builds trust and credibility, takes ownership of decisions in times of change, and models ethical judgment while ensuring the responsible and human-centered use of AI and technology.","Skill","Customer Engagement","Leadership Presence","","7/15/2026","Skill","Customer Engagement - Relationship Building"
"a9J3y0000010x9O","Executive Alignment","","0Sk3y000000TRqwCAG","","3","Customer Engagement > Customer Engagement - Relationship Building","Customer Engagement - Relationship Building","0","Establishes credibility with senior executives, developing a portfolio of c-suite connections. Identifies priorities of key decision makers and influencers to accelerate value, improve customer outcomes and uncover new opportunities for Salesforce.","Skill","Customer Engagement","Executive Alignment","","7/15/2026","Skill","Customer Engagement - Relationship Building"
"a9J3y0000010x9T","Personal Branding","","0Sk3y000000TRqpCAG","","3","Customer Engagement > Customer Engagement - Relationship Building","Customer Engagement - Relationship Building","0","Demonstrates proficiency in building a reputation as a subject matter expert in their domain, both through on-the-job performance and participation in external forums. Actively contributes to the ecosystem.","Skill","Customer Engagement","Personal Branding","","7/15/2026","Skill","Customer Engagement - Relationship Building"
